City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
274,Ostrovnoy,RU,2022-09-22 05:48:12,68.0531,39.5131,44.2,77,100,15.3,overcast clouds
275,Port-Cartier,CA,2022-09-22 05:52:12,50.0334,-66.8654,50.22,98,100,4.07,overcast clouds
276,Alice Springs,AU,2022-09-22 05:43:48,-23.7,133.8833,85.55,16,0,5.75,clear sky
277,Nishihara,JP,2022-09-22 05:52:13,26.1842,127.7558,87.46,72,40,11.5,scattered clouds
278,Saldanha,ZA,2022-09-22 05:42:38,-33.0117,17.9442,41.05,80,22,9.01,few clouds
279,Kesova Gora,RU,2022-09-22 05:52:13,57.5836,37.2922,45.99,96,100,8.7,overcast clouds
280,Flinders,AU,2022-09-22 05:44:14,-34.5833,150.8552,62.38,88,100,11.07,overcast clouds
281,Rawson,AR,2022-09-22 05:44:30,-43.3002,-65.1023,44.29,90,7,4.65,clear sky
282,Hovd,MN,2022-09-22 05:52:14,48.0056,91.6419,64.0,26,0,5.32,clear sky
283,Nova Olinda Do Norte,BR,2022-09-22 05:52:15,-3.8881,-59.0942,77.29,46,43,2.35,scattered clouds
284,Seydi,TM,2022-09-22 05:52:15,39.4816,62.9137,91.72,8,0,12.17,clear sky
285,Hasaki,JP,2022-09-22 05:44:19,35.7333,140.8333,73.29,82,98,19.13,overcast clouds
286,Yaan,NG,2022-09-22 05:52:16,7.3833,8.5667,72.21,97,100,3.98,overcast clouds
287,Hobyo,SO,2022-09-22 05:48:02,5.3505,48.5268,81.09,73,84,15.35,broken clouds
288,Katsuura,JP,2022-09-22 05:42:52,35.1333,140.3,73.42,80,100,19.64,overcast clouds
289,Waddan,LY,2022-09-22 05:52:17,29.1614,16.139,75.09,79,7,3.71,clear sky
290,Muravlenko,RU,2022-09-22 05:52:18,63.7898,74.523,38.21,69,76,26.11,broken clouds
291,Sosnovo-Ozerskoye,RU,2022-09-22 05:52:18,52.5249,111.5418,48.88,38,19,13.89,few clouds
292,Samarai,PG,2022-09-22 05:43:18,-10.6167,150.6667,80.65,81,99,11.54,overcast clouds
293,Jalingo,NG,2022-09-22 05:52:19,8.8833,11.3667,74.44,91,96,1.77,overcast clouds
294,Barranca,PE,2022-09-22 05:52:20,-10.75,-77.7667,60.15,88,93,8.75,overcast clouds
295,Airai,TL,2022-09-22 05:43:33,-8.9266,125.4092,79.7,36,51,6.53,broken clouds
296,Tuatapere,NZ,2022-09-22 05:52:21,-46.1333,167.6833,51.64,74,22,4.99,few clouds
297,Luena,AO,2022-09-22 05:52:21,-11.7833,19.9167,69.78,56,63,3.36,broken clouds
298,Lompoc,US,2022-09-22 05:52:21,34.6391,-120.4579,62.6,93,0,10.36,clear sky
299,Kieta,PG,2022-09-22 05:52:22,-6.2167,155.6333,80.08,79,39,4.21,light rain
300,Nhulunbuy,AU,2022-09-22 05:52:22,-12.2333,136.7667,90.21,55,40,11.5,scattered clouds
301,Barcelona,ES,2022-09-22 05:52:23,41.3888,2.159,70.32,71,20,5.75,few clouds
302,Dan Khun Thot,TH,2022-09-22 05:52:23,15.2085,101.7714,91.33,64,85,6.17,overcast clouds
303,Bayji,IQ,2022-09-22 05:52:24,34.9311,43.487,89.87,26,96,15.3,overcast clouds
304,Khandyga,RU,2022-09-22 05:52:24,62.6667,135.6,34.74,66,100,5.99,overcast clouds
305,Paita,PE,2022-09-22 05:50:06,-5.0892,-81.1144,61.7,87,32,11.74,scattered clouds
306,Bluefield,US,2022-09-22 05:52:25,37.2698,-81.2223,63.14,91,9,6.06,clear sky
307,Blagoyevo,RU,2022-09-22 05:52:25,63.3667,47.9167,44.17,79,13,4.05,few clouds
308,Georgiyevskoye,RU,2022-09-22 05:52:26,58.731,45.024,46.44,92,98,6.82,overcast clouds
309,Pronsk,RU,2022-09-22 05:52:26,54.1048,39.6092,52.93,80,21,5.23,few clouds
310,Beaupre,CA,2022-09-22 05:52:26,47.0443,-70.8953,57.96,88,100,3.44,heavy intensity rain
311,Rafaela,AR,2022-09-22 05:52:27,-31.2503,-61.4867,44.98,62,79,1.99,broken clouds
312,Septemvri,BG,2022-09-22 05:52:28,42.2167,24.1,52.63,63,7,6.22,clear sky
313,Kavaratti,IN,2022-09-22 05:44:01,10.5669,72.642,81.05,72,6,8.05,clear sky
314,Boyolangu,ID,2022-09-22 05:52:28,-8.1181,111.8935,82.13,71,92,10.87,overcast clouds
315,Oistins,BB,2022-09-22 05:52:29,13.0667,-59.5333,82.49,78,40,16.11,scattered clouds
316,Comodoro Rivadavia,AR,2022-09-22 05:52:29,-45.8667,-67.5,44.46,76,0,4.61,clear sky
317,Viedma,AR,2022-09-22 05:50:27,-40.8135,-62.9967,44.38,87,100,6.69,overcast clouds
318,Sinnamary,GF,2022-09-22 05:44:22,5.3833,-52.95,77.81,85,6,10.0,clear sky
319,Kungurtug,RU,2022-09-22 05:52:30,50.5994,97.5228,60.21,32,67,2.42,broken clouds
320,Kihei,US,2022-09-22 05:52:30,20.785,-156.4656,80.62,75,40,14.97,scattered clouds
321,Mpika,ZM,2022-09-22 05:52:31,-11.8343,31.4529,69.48,47,40,10.18,scattered clouds
322,Trairi,BR,2022-09-22 05:52:32,-3.2778,-39.2689,77.77,75,36,11.36,scattered clouds
323,Elk City,US,2022-09-22 05:49:08,35.412,-99.4043,78.78,57,75,13.8,broken clouds
324,Chulman,RU,2022-09-22 05:52:33,56.8479,124.9104,38.28,93,99,7.99,light rain
325,Gorontalo,ID,2022-09-22 05:52:33,0.5412,123.0595,78.4,87,99,1.97,moderate rain
326,Cidreira,BR,2022-09-22 05:52:34,-30.1811,-50.2056,59.86,97,100,3.02,overcast clouds
327,Anuchino,RU,2022-09-22 05:52:34,43.9622,133.0544,67.82,42,1,8.79,clear sky
328,Prince Rupert,CA,2022-09-22 05:52:34,54.3161,-130.3201,55.09,97,100,6.91,fog
329,Kristiansund,NO,2022-09-22 05:52:35,63.1115,7.732,54.25,66,0,5.75,clear sky
330,Verkhnevilyuysk,RU,2022-09-22 05:52:35,63.4453,120.3167,38.62,48,80,7.29,broken clouds
331,Corsicana,US,2022-09-22 05:52:36,32.0954,-96.4689,81.16,68,0,0.0,clear sky
332,Upington,ZA,2022-09-22 05:52:36,-28.4478,21.2561,55.78,38,0,2.3,clear sky
333,Guabito,PA,2022-09-22 05:52:37,9.5,-82.6167,74.05,87,43,3.15,scattered clouds
334,Helena,US,2022-09-22 05:51:01,46.5927,-112.0361,54.59,85,100,4.61,overcast clouds
335,Kalmunai,LK,2022-09-22 05:52:37,7.4167,81.8167,87.44,60,55,4.83,broken clouds
336,Farmington,US,2022-09-22 05:50:17,36.7281,-108.2187,63.28,94,75,4.61,broken clouds
337,Ponta Do Sol,PT,2022-09-22 05:43:16,32.6667,-17.1,75.0,86,14,2.77,few clouds
338,Udimskiy,RU,2022-09-22 05:52:38,61.1417,45.9144,45.66,82,13,4.36,few clouds
339,Marystown,CA,2022-09-22 05:52:38,47.1666,-55.1483,54.86,100,100,1.99,overcast clouds
